ID,names,Treatment,Group,Time
1,A1,CK,air,0
2,A2,CK,air,0
3,A3,CK,air,0
4,A4,CK,air,0
5,A21,CK,air,16
6,A22,CK,air,16
7,A23,CK,air,16
8,A24,CK,air,16
9,A25,CK,air,32
10,A26,CK,air,32
11,A27,CK,air,32
12,A28,CK,air,32
13,A29,CK,air,64
14,A30,CK,air,64
15,A31,CK,air,64
16,A32,CK,air,64
17,A33,CK,air,128
18,A34,CK,air,128
19,A35,CK,air,128
20,A36,CK,air,128
21,A37,CK,air,256
22,A38,CK,air,256
23,A39,CK,air,256
24,A40,CK,air,256
25,A41,CK,air,512
26,A42,CK,air,512
27,A43,CK,air,512
28,A44,CK,air,512
29,A45,CK,air,1024
30,A46,CK,air,1024
31,A47,CK,air,1024
32,A48,CK,air,1024
33,A49,CK,air,2048
34,A50,CK,air,2048
35,A51,CK,air,2048
36,A52,CK,air,2048
37,A53,CK,air,4096
38,A54,CK,air,4096
39,A55,CK,air,4096
40,A56,CK,air,4096
41,A57,CK,air,8192
42,A58,CK,air,8192
43,A59,CK,air,8192
44,A60,CK,air,8192
45,B1,N,air,0
46,B2,N,air,0
47,B3,N,air,0
48,B4,N,air,0
49,B21,N,air,16
50,B22,N,air,16
51,B23,N,air,16
52,B24,N,air,16
53,B25,N,air,32
54,B26,N,air,32
55,B27,N,air,32
56,B28,N,air,32
57,B29,N,air,64
58,B30,N,air,64
59,B31,N,air,64
60,B32,N,air,64
61,B33,N,air,128
62,B34,N,air,128
63,B35,N,air,128
64,B36,N,air,128
65,B37,N,air,256
66,B38,N,air,256
67,B39,N,air,256
68,B40,N,air,256
69,B41,N,air,512
70,B42,N,air,512
71,B43,N,air,512
72,B44,N,air,512
73,B45,N,air,1024
74,B46,N,air,1024
75,B47,N,air,1024
76,B48,N,air,1024
77,B49,N,air,2048
78,B50,N,air,2048
79,B51,N,air,2048
80,B52,N,air,2048
81,B53,N,air,4096
82,B54,N,air,4096
83,B55,N,air,4096
84,B56,N,air,4096
85,B57,N,air,8192
86,B58,N,air,8192
87,B59,N,air,8192
88,B60,N,air,8192
89,C1,NPK,air,0
90,C2,NPK,air,0
91,C3,NPK,air,0
92,C4,NPK,air,0
93,C21,NPK,air,16
94,C22,NPK,air,16
95,C23,NPK,air,16
96,C24,NPK,air,16
97,C25,NPK,air,32
98,C26,NPK,air,32
99,C27,NPK,air,32
100,C28,NPK,air,32
101,C29,NPK,air,64
102,C30,NPK,air,64
103,C31,NPK,air,64
104,C32,NPK,air,64
105,C33,NPK,air,128
106,C34,NPK,air,128
107,C35,NPK,air,128
108,C36,NPK,air,128
109,C37,NPK,air,256
110,C38,NPK,air,256
111,C39,NPK,air,256
112,C40,NPK,air,256
113,C41,NPK,air,512
114,C42,NPK,air,512
115,C43,NPK,air,512
116,C44,NPK,air,512
117,C45,NPK,air,1024
118,C46,NPK,air,1024
119,C47,NPK,air,1024
120,C48,NPK,air,1024
121,C49,NPK,air,2048
122,C50,NPK,air,2048
123,C51,NPK,air,2048
124,C52,NPK,air,2048
125,C53,NPK,air,4096
126,C54,NPK,air,4096
127,C55,NPK,air,4096
128,C56,NPK,air,4096
129,C57,NPK,air,8192
130,C58,NPK,air,8192
131,C59,NPK,air,8192
132,C60,NPK,air,8192
133,D1,NPK1.0M,air,0
134,D2,NPK1.0M,air,0
135,D3,NPK1.0M,air,0
136,D4,NPK1.0M,air,0
137,D21,NPK1.0M,air,16
138,D22,NPK1.0M,air,16
139,D23,NPK1.0M,air,16
140,D24,NPK1.0M,air,16
141,D25,NPK1.0M,air,32
142,D26,NPK1.0M,air,32
143,D27,NPK1.0M,air,32
144,D28,NPK1.0M,air,32
145,D29,NPK1.0M,air,64
146,D30,NPK1.0M,air,64
147,D31,NPK1.0M,air,64
148,D32,NPK1.0M,air,64
149,D33,NPK1.0M,air,128
150,D34,NPK1.0M,air,128
151,D35,NPK1.0M,air,128
152,D36,NPK1.0M,air,128
153,D37,NPK1.0M,air,256
154,D38,NPK1.0M,air,256
155,D39,NPK1.0M,air,256
156,D40,NPK1.0M,air,256
157,D41,NPK1.0M,air,512
158,D42,NPK1.0M,air,512
159,D43,NPK1.0M,air,512
160,D44,NPK1.0M,air,512
161,D45,NPK1.0M,air,1024
162,D46,NPK1.0M,air,1024
163,D47,NPK1.0M,air,1024
164,D48,NPK1.0M,air,1024
165,D49,NPK1.0M,air,2048
166,D50,NPK1.0M,air,2048
167,D51,NPK1.0M,air,2048
168,D52,NPK1.0M,air,2048
169,D53,NPK1.0M,air,4096
170,D54,NPK1.0M,air,4096
171,D55,NPK1.0M,air,4096
172,D56,NPK1.0M,air,4096
173,D57,NPK1.0M,air,8192
174,D58,NPK1.0M,air,8192
175,D59,NPK1.0M,air,8192
176,D60,NPK1.0M,air,8192
177,E1,NPK1.5M,air,0
178,E2,NPK1.5M,air,0
179,E3,NPK1.5M,air,0
180,E4,NPK1.5M,air,0
181,E21,NPK1.5M,air,16
182,E22,NPK1.5M,air,16
183,E23,NPK1.5M,air,16
184,E24,NPK1.5M,air,16
185,E25,NPK1.5M,air,32
186,E26,NPK1.5M,air,32
187,E27,NPK1.5M,air,32
188,E28,NPK1.5M,air,32
189,E29,NPK1.5M,air,64
190,E30,NPK1.5M,air,64
191,E31,NPK1.5M,air,64
192,E32,NPK1.5M,air,64
193,E33,NPK1.5M,air,128
194,E34,NPK1.5M,air,128
195,E35,NPK1.5M,air,128
196,E36,NPK1.5M,air,128
197,E37,NPK1.5M,air,256
198,E38,NPK1.5M,air,256
199,E39,NPK1.5M,air,256
200,E40,NPK1.5M,air,256
201,E41,NPK1.5M,air,512
202,E42,NPK1.5M,air,512
203,E43,NPK1.5M,air,512
204,E44,NPK1.5M,air,512
205,E45,NPK1.5M,air,1024
206,E46,NPK1.5M,air,1024
207,E47,NPK1.5M,air,1024
208,E48,NPK1.5M,air,1024
209,E49,NPK1.5M,air,2048
210,E50,NPK1.5M,air,2048
211,E51,NPK1.5M,air,2048
212,E52,NPK1.5M,air,2048
213,E53,NPK1.5M,air,4096
214,E54,NPK1.5M,air,4096
215,E55,NPK1.5M,air,4096
216,E56,NPK1.5M,air,4096
217,E57,NPK1.5M,air,8192
218,E58,NPK1.5M,air,8192
219,E59,NPK1.5M,air,8192
220,E60,NPK1.5M,air,8192
